[2025-10-19T15:22:58.291Z] GET /api/students?page=1&limit=1000 200 | 48ms | IP: 127.0.0.1
[2025-10-19T15:22:58.307Z] GET /api/attendance 200 | 8ms | IP: 127.0.0.1
[2025-10-19T15:23:52.422Z] GET /api/students?page=1&limit=1000 304 | 41ms | IP: 127.0.0.1
[2025-10-19T15:23:52.436Z] GET /api/attendance 304 | 5ms | IP: 127.0.0.1
[2025-10-19T15:23:53.495Z] GET /api/students?page=1&limit=10 200 | 4ms | IP: 127.0.0.1
[2025-10-19T15:24:00.450Z] GET /api/students?page=1&limit=1000 304 | 3ms | IP: 127.0.0.1
[2025-10-19T15:24:00.462Z] GET /api/attendance 304 | 4ms | IP: 127.0.0.1
[2025-10-19T15:24:01.694Z] GET /api/students?page=1&limit=10 304 | 4ms | IP: 127.0.0.1
[2025-10-19T15:28:07.702Z] GET /api/students?page=1&limit=10 200 | 21ms | IP: 127.0.0.1
[2025-10-19T15:28:42.991Z] GET /api/students?page=1&limit=10 304 | 13ms | IP: 127.0.0.1
[2025-10-19T15:32:55.618Z] GET /api/students?page=1&limit=10 304 | 26ms | IP: 127.0.0.1
[2025-10-19T15:33:09.398Z] GET /api/students?page=1&limit=10 304 | 24ms | IP: 127.0.0.1
[2025-10-19T15:33:11.299Z] GET /api/students?page=1&limit=10 304 | 5ms | IP: 127.0.0.1
[2025-10-19T15:33:12.796Z] GET /api/students?page=1&limit=10 304 | 4ms | IP: 127.0.0.1
[2025-10-19T15:34:53.662Z] GET /api/students?page=1&limit=10 304 | 17ms | IP: 127.0.0.1
[2025-10-19T16:03:55.131Z] GET /api/students?page=1&limit=10 304 | 24ms | IP: 127.0.0.1
[2025-10-19T16:04:33.486Z] GET /api/students?page=1&limit=10 304 | 26ms | IP: 127.0.0.1
[2025-10-19T16:05:21.592Z] GET /api/students?page=1&limit=10 304 | 17ms | IP: 127.0.0.1
[2025-10-19T16:09:11.845Z] GET /api/students?page=1&limit=1000 200 | 27ms | IP: 127.0.0.1
[2025-10-19T16:09:11.852Z] GET /api/attendance 304 | 3ms | IP: 127.0.0.1
[2025-10-19T16:26:18.141Z] POST /api/auth/login 401 | 23ms | IP: 127.0.0.1
[2025-10-19T16:26:25.159Z] POST /api/auth/login 200 | 104ms | IP: 127.0.0.1
[2025-10-19T16:26:25.216Z] GET /api/students?page=1&limit=1000 304 | 5ms | IP: 127.0.0.1
[2025-10-19T16:26:25.234Z] GET /api/attendance 304 | 3ms | IP: 127.0.0.1
[2025-10-19T16:26:36.721Z] POST /api/auth/login 401 | 18ms | IP: 127.0.0.1
[2025-10-19T16:30:25.650Z] POST /api/auth/register 400 | 7ms | IP: 127.0.0.1
[2025-10-19T16:30:34.378Z] POST /api/auth/register 400 | 2ms | IP: 127.0.0.1
